Hybridization REF,BRCA1,BRCA2,PALB2,CHEK2,CDH1,PTEN,STK11,TP53,ATM,BARD1,BRIP1,CASP8,CTLA4,CYP19A1,FGFR2,LSP1,MAP3K1,MRE11A,NBN,RAD51,TERT,CANCER
TCGA-B6-A0RM-01A-11R-A084-07,-1.1735,-0.35475,-0.0885,-0.693625,1.555333333,0.6497142857,0.57425,0.1688333333,-1.550416667,-0.3246666667,-2.591,-0.7506,-0.422,-3.14725,1.970625,0.1485,3.1325,0.01042857143,1.877375,-1.484333333,-1.6485,1
TCGA-A2-A0YC-01A-11R-A109-07,-0.966,-0.852,-0.23175,-0.90875,1.442666667,2.1985,0.24725,-0.5703333333,-0.5991666667,-0.2798333333,-1.589666667,-0.4183,0.3035,-1.146,0.98425,0.6245,1.4325,-0.315,0.6825,-2.76,-2.8665,1
TCGA-BH-A18P-11A-43R-A12D-07,-2.626166667,-2.62725,-1.2095,-2.405125,0.831833333,1.637571429,0.062625,-0.844333333,-1.280583333,-2.774166667,-2.546333333,-1.5052,-0.059,-2.218125,1.9240625,-0.136625,0.6355,-0.143857143,0.526375,-4.396,-2.2635,0
TCGA-BH-A0BD-01A-11R-A034-07,-0.9085,0.136,-0.887,-0.8515,2.230166667,1.328571429,0.467875,0.1605,-1.706166667,0.3475,-2.022666667,-0.8159,0.7165,-2.079,1.15525,0.603625,2.998,0.7102142857,0.585625,-1.081166667,-2.0715,1
TCGA-A8-A08T-01A-21R-A00Z-07,-1.917833333,-2.659,-0.35675,-1.519125,2.00625,0.5215714286,0.94575,0.5411666667,-1.56975,-0.7263333333,-3.821833333,-1.5173,0.1635,-2.688375,2.0089375,0.204,0.4435,0.08621428571,0.46775,-2.169,-1.653,1
TCGA-E2-A10B-01A-11R-A10J-07,-1.406583333,-0.92125,-0.52825,-0.715375,3.1095,-0.2203571429,0.734125,-0.4528333333,-1.42425,0.04516666667,-1.712666667,-0.9941,0.0675,-0.903875,0.89675,0.427625,1.391,-0.377,0.006875,-2.097,-1.539,1
TCGA-E2-A15I-11A-32R-A137-07,-2.527916667,-3.1455,-1.27425,-1.504625,-0.985416667,2.692642857,0.01575,-0.628666667,-1.484916667,-2.222833333,-4.0935,-1.2917,-1.157,-2.5355,0.7905625,1.013125,-0.7415,-0.315928571,0.873,-4.288166667,-1.606,0
TCGA-BH-A18M-11A-33R-A12D-07,-2.723363636,-2.3495,-1.53075,-1.463125,1.379833333,1.242071429,-0.13425,-0.640166667,-1.330416667,-0.981166667,-4.389,-1.211,0.147,-1.819875,1.47725,0.319375,-0.373,-0.125571429,0.022125,-3.681333333,-0.5135,0
TCGA-BH-A0AY-11A-23R-A089-07,-2.202916667,-2.31275,-1.016,-1.24525,1.575416667,1.267857143,-0.065125,-0.382,-0.916666667,-1.2395,-2.817333333,-1.0584,-0.152,-1.9155,1.98225,0.56925,1.56,-0.057357143,0.356,-3.993,-2.09,0
TCGA-BH-A0BV-11A-31R-A089-07,-2.180666667,-1.72075,-1.07225,-1.15525,2.034666667,1.544357143,0.111,0.145666667,-0.668,-0.917333333,-2.796333333,-0.9293,-0.215,-2.173125,2.0185,0.49525,1.8235,-0.185785714,0.078875,-3.545166667,-2.6335,0
TCGA-BH-A0DZ-11A-22R-A089-07,-1.776,-1.2245,-0.875,-0.89125,2.354833333,1.283,-0.073625,0.490333333,-0.824166667,-0.816666667,-2.030666667,-1.145,-0.511,-2.524375,1.79975,0.255875,1.9075,-0.242,0.52675,-2.418666667,-1.645,0
TCGA-A7-A13F-11A-42R-A12P-07,-2.596333333,-2.8785,-1.06175,-1.359,1.054833333,1.916357143,-0.00025,-0.4115,-1.761083333,-1.992,-4.104333333,-1.2276,-0.0425,-2.820142857,1.7630625,0.9685,0.8385,0.031071429,0.384375,-3.935,-1.6365,0
TCGA-BH-A0H5-11A-62R-A115-07,-2.185916667,-2.4985,-0.39175,-1.307875,1.864333333,0.465071429,-0.33325,-0.245333333,-0.744416667,-1.681166667,-3.723166667,0.5657,-0.104,-2.658625,2.602875,-0.11375,1.6655,-0.249428571,0.447125,-3.858666667,-2.3515,0
TCGA-BH-A18G-01A-11R-A12D-07,-1.996833333,-1.2155,-0.67025,-1.01975,2.300666667,0.6010714286,1.247,-0.2665,-2.062,-1.366666667,-1.282,-0.4658,0.038,-2.017375,-1.1719375,0.579625,2.0105,-0.8223571429,-0.058875,-1.984833333,-0.6785,1
TCGA-A8-A07C-01A-11R-A034-07,-3.386166667,0.5695,0.15325,0.45675,-0.01958333333,-0.1766428571,-0.2035,-1.885666667,-1.024166667,0.5135,-0.4448333333,-0.7981,0.8805,-2.4675,5.3786875,0.368625,0.706,-0.1427142857,1.107375,-0.1398333333,-1.19,1
